Query_ID	Doc_ID	Rank	Score
1	13	1	6.499536233722075
1	486	2	5.525629186955317
1	746	3	5.432522085316006
1	875	4	5.342024402310258
1	792	5	5.0931360138017885
1	184	6	4.940885474867953
1	359	7	4.623759099548881
1	51	8	4.306534346443713
1	1340	9	4.250257059562598
1	747	10	3.7557519601252287
1	315	11	3.550711687773984
1	606	12	3.429303224970382
1	1147	13	3.3242203910761754
1	879	14	3.2606650473754923
1	1144	15	3.242992150839791
1	584	16	3.1625688674573
1	56	17	3.10392844135757
1	1389	18	3.0560109959576325
1	1250	19	3.0045155596832362
1	1111	20	2.8917092471012653
1	1128	21	2.8425598188302783
1	800	22	2.8349113571753723
1	316	23	2.794647415225908
1	168	24	2.7591348036331005
1	253	25	2.751794769129776
1	874	26	2.745296204085472
1	571	27	2.7276224847622688
1	876	28	2.6897339454677702
1	141	29	2.6897339454677702
1	1328	30	2.600961913516825
1	12	31	2.5989696877630157
1	1303	32	2.5989696877630157
1	435	33	2.544514495836488
1	663	34	2.51413109508282
1	391	35	2.51413109508282
1	817	36	2.5082523075270786
1	1163	37	2.4997710581250665
1	1050	38	2.4941459030219795
1	202	39	2.47485381728427
1	700	40	2.434656214006322
1	429	41	2.434656214006322
1	1380	42	2.434656214006322
1	29	43	2.3719887239058774
1	1263	44	2.3612750536847686
1	349	45	2.3611386632121993
1	327	46	2.3611386632121993
1	540	47	2.3611386632121993
1	945	48	2.3600519700120817
1	193	49	2.3600519700120817
1	92	50	2.289883928090214
1	1063	51	2.289883928090214
1	203	52	2.289883928090214
1	1268	53	2.2889194006651863
1	563	54	2.262620436336682
1	1246	55	2.2237678272131656
1	378	56	2.2208662414541083
1	438	57	2.2018838813988033
1	436	58	2.2018838813988033
1	160	59	2.191096127023293
1	914	60	2.1031744197088598
1	100	61	2.1031744197088598
1	52	62	2.10236418666963
1	280	63	2.10236418666963
1	102	64	2.06985194596077
1	101	65	2.0626751822496736
1	666	66	2.0626751822496736
1	665	67	2.0608066869182724
1	638	68	2.0465011844426053
1	781	69	2.0328518516165524
1	1089	70	2.027066991369519
1	883	71	2.027066991369519
1	47	72	2.027066991369519
1	670	73	1.9994694114750822
1	1155	74	1.9935300696256468
1	309	75	1.9935300696256468
1	635	76	1.9825387591847008
1	909	77	1.956275388198562
1	1169	78	1.956275388198562
1	78	79	1.956275388198562
1	1201	80	1.945142424503039
1	799	81	1.9432319493568335
1	1124	82	1.9432319493568335
1	209	83	1.890261467462976
1	1300	84	1.8840075579828732
1	215	85	1.8582264481529784
1	880	86	1.8529945778447443
1	878	87	1.8529945778447443
1	204	88	1.849884271306478
1	685	89	1.8421272441736376
1	707	90	1.8311369161215834
1	1012	91	1.828557353154821
1	725	92	1.828557353154821
1	564	93	1.7941282867415427
1	810	94	1.7707543298885466
1	430	95	1.765093871233499
1	566	96	1.733824750825113
1	1197	97	1.7164937787187873
1	497	98	1.7164937787187873
1	358	99	1.6772680327998581
1	643	100	1.6772680327998581
1	95	101	1.6258721466608324
1	687	102	1.6231823309379623
1	552	103	1.6231823309379623
1	57	104	1.620543384135271
1	911	105	1.6173727058675127
1	655	106	1.530487844650073
1	1314	107	1.509808989124295
1	630	108	1.509808989124295
1	593	109	1.509808989124295
1	1168	110	1.488444574895687
1	1215	111	1.4588609418630625
1	447	112	1.4588609418630625
1	285	113	1.4588609418630625
1	1165	114	1.4499180550603452
1	686	115	1.448347501104354
1	303	116	1.4456435299074972
1	1315	117	1.4112391054843951
1	1140	118	1.4112391054843951
1	973	119	1.4098627132675394
1	1090	120	1.4098627132675394
1	1166	121	1.3785537857211354
1	1167	122	1.3785537857211354
1	1091	123	1.3733701863008452
1	302	124	1.3666280427207085
1	431	125	1.3387191219117667
1	311	126	1.3387191219117667
1	252	127	1.3387191219117667
1	776	128	1.324750979601093
1	767	129	1.324750979601093
1	1098	130	1.324750979601093
1	1064	131	1.305773566246662
1	572	132	1.2853640578494465
1	585	133	1.2772827308506234
1	516	134	1.2744106271726618
1	925	135	1.2685269161633033
1	441	136	1.2482515829899095
1	264	137	1.2482515829899095
1	373	138	1.2482515829899095
1	144	139	1.227455606932019
1	959	140	1.227455606932019
1	437	141	1.227455606932019
1	142	142	1.227455606932019
1	41	143	1.2226228197347304
1	814	144	1.2226228197347304
1	679	145	1.2226228197347304
1	1062	146	1.2132220725628355
1	549	147	1.2132220725628355
1	159	148	1.181370060651585
1	554	149	1.181370060651585
1	399	150	1.181370060651585
1	518	151	1.181370060651585
1	21	152	1.181370060651585
1	398	153	1.181370060651585
1	139	154	1.1799249563434755
1	1084	155	1.1799249563434755
1	40	156	1.1799249563434755
1	1002	157	1.1799249563434755
1	1164	158	1.1627042110668688
1	1162	159	1.1627042110668688
1	5	160	1.1540266120423956
1	413	161	1.1487477747497483
1	1285	162	1.140108745899953
1	53	163	1.140108745899953
1	406	164	1.140108745899953
1	225	165	1.140108745899953
1	1207	166	1.1386199033699416
1	500	167	1.1386199033699416
1	485	168	1.1386199033699416
1	542	169	1.1386199033699416
1	963	170	1.1386199033699416
1	226	171	1.102891989598425
1	464	172	1.102891989598425
1	1161	173	1.098855688025751
1	524	174	1.098855688025751
1	181	175	1.098855688025751
1	158	176	1.098855688025751
1	623	177	1.098855688025751
1	662	178	1.0938486726736354
1	244	179	1.0907803985729299
1	1319	180	1.0680281712856134
1	1320	181	1.0680281712856134
1	1211	182	1.0680281712856134
1	536	183	1.0680281712856134
1	251	184	1.0680281712856134
1	916	185	1.0680281712856134
1	774	186	1.0680281712856134
1	1274	187	1.0680281712856134
